PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
-5 -4 -3 -2 -1 1 2 3 4 5 21
5.71820E-02 1.65275E-01 -3.44566E-02 1.55378E+00 1.55368E+00 1.55361E+00 1.55412E+00 -3.49285E-02 1.65275E-01 5.71820E-02 -1.17437E+00 
5.71820E-02 1.65275E-01 -1.04006E-02 1.56653E+00 1.56642E+00 1.56635E+00 1.56690E+00 -1.08743E-02 1.65275E-01 5.71820E-02 -4.27431E-01 
5.71820E-02 1.75073E-02 2.66456E-02 1.59229E+00 1.59218E+00 1.59212E+00 1.59269E+00 2.61701E-02 1.75073E-02 5.71820E-02 5.29592E-01 
5.71820E-02 6.97256E-02 7.88512E-02 1.63323E+00 1.63312E+00 1.63306E+00 1.63366E+00 7.83740E-02 6.97256E-02 5.71820E-02 1.73139E+00 
5.71820E-02 1.40671E-01 1.49783E-01 1.69277E+00 1.69266E+00 1.69261E+00 1.69324E+00 1.49304E-01 1.40671E-01 5.71820E-02 3.29302E+00 
5.71820E-02 2.33721E-01 2.42821E-01 1.77431E+00 1.77419E+00 1.77416E+00 1.77481E+00 2.42340E-01 2.33721E-01 5.71820E-02 5.31489E+00 
5.71820E-02 3.52714E-01 3.61801E-01 1.88169E+00 1.88158E+00 1.88155E+00 1.88223E+00 3.61318E-01 3.52714E-01 5.71820E-02 7.91952E+00 
5.71820E-02 4.65322E-01 4.74399E-01 1.98526E+00 1.98514E+00 1.98512E+00 1.98583E+00 4.73915E-01 4.65322E-01 5.71820E-02 1.04273E+01 
5.71820E-02 5.01991E-01 5.11065E-01 2.01927E+00 2.01916E+00 2.01913E+00 2.01985E+00 5.10581E-01 5.01991E-01 5.71820E-02 1.12543E+01 
5.71820E-02 7.02555E-01 7.11616E-01 2.20714E+00 2.20702E+00 2.20701E+00 2.20776E+00 7.11129E-01 7.02555E-01 5.71820E-02 1.58705E+01 
